# Bronze Age Aegean (Mycenaean-Minoan, ~1450 BCE, TL1) — slug|rarity|name|typeline|art_prompt|stats|flavor
rapier|uncommon|Bronze Rapier|Weapon · Long Sword · TL1|a Mycenaean Type-A bronze rapier, a long slender thrusting sword with a riveted hilt|Damage: thr+1 imp\nReach 1-2 · Parry 0 · Min ST 9\nFragile: blade HT -1\nWeight 3 lb · Availability: Uncommon|Beautiful and brittle: a thrust, never a parry.
bronzespear|common|Bronze Spear|Weapon · Spear · TL1|a Bronze Age Aegean thrusting spear with a socketed bronze leaf head|Damage: thr+2 imp\nReach 1-2 · Parry 0U · Min ST 9\nWeight 4 lb · Availability: Common\nSource: warrior · armory|The honest length of bronze that decided most fights.
bronzedagger|common|Bronze Dagger|Weapon · Dagger · TL1|a Bronze Age Aegean bronze dagger with a gold-inlaid hilt|Damage: thr imp / sw cut\nReach C,1 · Parry 0 · Min ST 5\nWeight 0.5 lb · Availability: Common|Everyone carries one; the inlay says how much you matter.
aegeanbow|uncommon|Self Bow|Weapon · Bow · TL1|a Bronze Age Aegean wooden self bow with a quiver of reed arrows|Damage: thr imp (bow)\nAcc 2 · Range x12 · Min ST 10\nWeight 3 lb · Availability: Uncommon|The hunter's tool, mistrusted by proper spearmen.
figure8|common|Figure-Eight Shield|Shield · Body Shield · TL1|a Mycenaean figure-eight body shield of layered oxhide on a wooden frame|Defense Bonus: +3\nCovers: shield (very large)\nWeight 20 lb · Availability: Common|Oxhide taller than a man, a moving wall.
boarhelm|rare|Boar's-Tusk Helmet|Armor · Helm · TL1|a Mycenaean boar's-tusk helmet, rows of split boar tusks sewn onto a leather cap|DR: 2\nCovers: skull\nWeight 3 lb · Availability: Rare\nSource: chieftain · tomb|Forty boars died for this cap. Homer still remembered it.
dendra|epic|Dendra Panoply|Armor · Plate Panoply · TL1|the Dendra panoply, a full Mycenaean bronze plate suit of overlapping beaten bands|DR: 5 (bronze bands)\nCovers: torso, neck, arms, thighs\nWeight 40 lb · Availability: Epic\nSource: king · warrior tomb|A tin-man's shell: you fight from a chariot, not on foot.
oxhidecorslet|common|Oxhide Corslet|Armor · Cuirass · TL1|a Bronze Age layered oxhide leather corslet|DR: 2 (leather)\nCovers: torso\nWeight 6 lb · Availability: Common|What you wear when you cannot afford bronze.
aegeangreaves|uncommon|Bronze Greaves|Armor · Legs · TL1|a pair of Bronze Age beaten-bronze greaves laced at the calf|DR: 3 (bronze)\nCovers: shins\nWeight 4 lb · Availability: Uncommon|Beaten bronze, laced at the calf.
torch|common|Pitch Torch|Gear · Light · TL1|a Bronze Age wooden torch with a lit pitch-soaked head|Light ~3-yd radius\nBurns ~30 min · can ignite\nWeight 1 lb · Availability: Common|Fire on a stick, older than bronze, still undefeated.
aegeanlamp|common|Terracotta Lamp|Gear · Light · TL1|a Bronze Age Aegean terracotta oil lamp with a small steady flame|Light ~2-yd radius\nHours per fill · quiet\nWeight 1 lb · Availability: Common|A steadier flame than the torch, for indoor work.
aegeanwineskin|common|Wineskin|Gear · Consumable · TL1|a Bronze Age leather wineskin|A day's water or wine\nTrade-good and canteen both\nWeight 1 lb · Availability: Common|Barter token and canteen in one.
