# Ancient Greece (Classical / Hoplite, TL2) — slug|rarity|name|typeline|art_prompt|stats|flavor
xiphos|common|Xiphos|Weapon · Short Sword · TL2|xiphos, a classical Greek short leaf-shaped double-edged sword with bronze hilt and iron blade|Damage: sw cut / thr imp\nReach 1 · Parry 0 · Min ST 8\nWeight 2 lb · Cost $400\nAvailability: Common\nSource: market · fallen hoplite|A hoplite's backup blade, for when the spear breaks.
kopis|uncommon|Kopis|Weapon · Curved Sword · TL2|kopis, a classical Greek forward-curved single-edged chopping sword|Damage: sw+1 cut\nReach 1 · Parry 0 · Min ST 9\nWeight 3 lb · Cost $500\nAvailability: Uncommon\nSource: smith · cavalry dead|Favored by horsemen; it bites like an axe.
dory|common|Dory|Weapon · Spear · TL2|dory, a classical Greek hoplite thrusting spear with long ash shaft, iron leaf head and bronze butt-spike|Damage: thr+2 imp\nReach 1-2 · Parry 0U · Min ST 9\nWeight 4 lb · Cost $40\nAvailability: Common\nSource: market · armory · fallen|The phalanx's reason for being.
bow|uncommon|Composite Bow|Weapon · Bow · TL2|a classical Greek composite bow of horn wood and sinew, recurved|Damage: thr imp (bow)\nAcc 2 · Range x15/x20 · Min ST 10\nWeight 4 lb · Cost $900\nAvailability: Uncommon\nSource: Cretan archers · market|Cretan mercenaries made it the archer's choice.
sling|common|Sling & Shot|Weapon · Sling · TL2|a leather-and-cord sling with a pouch of lead sling-bullets|Damage: sw pi\nRange x6/x10 · Min ST 7\nWeight 0.5 lb · Cost $20\nAvailability: Common\nSource: any market · skirmishers|A shepherd's weapon that punches through a helm.
aspis|common|Aspis (Hoplon)|Shield · Round Shield · TL2|aspis hoplon, a large round Greek hoplite shield bronze-faced with a painted blazon, front view|Defense Bonus: +3\nCovers: shield\nWeight 18 lb · Cost $90\nAvailability: Common\nSource: armory · fallen hoplite|Held not for yourself but for the man on your left.
linothorax|common|Linothorax|Armor · Cuirass · TL2|linothorax, a classical Greek layered-linen cuirass with shoulder flaps and pteruges|DR: 2 (flexible linen)\nCovers: torso, groin\nWeight 8 lb · Cost $315\nAvailability: Common\nSource: market · fallen hoplite|Glued linen: light, cool, surprisingly tough.
cuirass|rare|Bronze Muscle Cuirass|Armor · Cuirass · TL2|a classical Greek bronze muscle cuirass, an anatomical breastplate, front view|DR: 5 (bronze)\nCovers: torso\nWeight 18 lb · Cost $1300\nAvailability: Rare\nSource: officer · champion · temple|A polished second skin, the mark of a man who can be seen.
helm|common|Corinthian Helm|Armor · Helm · TL2|Corinthian helmet, a classical Greek bronze full-face helmet with nose guard and horsehair crest|DR: 4 (bronze)\nCovers: skull, face (-per)\nWeight 5 lb · Cost $340\nAvailability: Common\nSource: armory · fallen|Near-blind and half-deaf, but it turns a point.
greaves|uncommon|Bronze Greaves|Armor · Legs · TL2|a pair of classical Greek bronze greaves, shin guards, front view|DR: 3 (bronze)\nCovers: shins\nWeight 4 lb · Cost $220\nAvailability: Uncommon\nSource: armory · officer dead|Clip-on bronze, because the shield leaves the legs bare.
kit|uncommon|Physician's Kit|Gear · Medical · TL2|a classical Greek physician's kit of bronze probes and scalpels, rolled linen bandages and clay herb jars|First Aid at no penalty\nEnables basic Surgery\nWeight 3 lb · Cost $200\nAvailability: Uncommon\nSource: healer · temple of Asclepius|The difference between a wound and a grave.
lamp|common|Oil Lamp|Gear · Light · TL2|a classical Greek terracotta oil lamp with a small flame at the spout and a clay oil flask|Light ~2-yd radius\nBurns hours per flask\nWeight 1 lb · Cost $20\nAvailability: Common\nSource: any market|A cupped flame against the dark of the tomb.
rope|common|Hemp Rope (30 ft)|Gear · Utility · TL2|a coil of classical Greek hemp rope|Climbing / utility\nHolds ~300 lb\nWeight 5 lb · Cost $25\nAvailability: Common\nSource: market · docks|Thirty feet between you and the drop.
wineskin|common|Wineskin|Gear · Consumable · TL2|a classical Greek leather wineskin, an askos|A day's water or wine\nMorale / barter token\nWeight 1 lb · Cost $10\nAvailability: Common\nSource: any market|Cut the wine with water, like a civilized person.
