# Modern / Present Day (2020s tactical, TL8) — slug|rarity|name|typeline|art_prompt|stats|flavor
pistol9|common|9mm Pistol|Weapon · Pistol · TL8|a modern polymer-frame 9mm semi-automatic pistol|Damage: 2d+2 pi\nAcc 2 · Range 160/1900 · Shots 17\nWeight 2 lb · Availability: Common|Boring, reliable, everywhere.
carbine|uncommon|Carbine|Weapon · Rifle · TL8|a modern short-barreled 5.56mm carbine with an optic and sling|Damage: 5d pi\nAcc 4 · Range 500/3200 · RoF 12\nWeight 7 lb · Availability: Uncommon|The team's rifle when quiet is off the table.
suppressed|rare|Suppressed Pistol|Weapon · Pistol · TL8|a modern pistol fitted with a threaded suppressor|Damage: 2d pi · Hearing -3 to detect\nAcc 2 · Range 150 · Shots 15\nWeight 2.5 lb · Availability: Rare|For when the mission survives only if no one hears.
combatknife|common|Combat Knife|Weapon · Knife · TL8|a modern tactical combat knife with a sheath|Damage: sw-2 cut / thr imp\nReach C,1 · Parry 0 · Min ST 6\nWeight 1 lb · Availability: Common|The tool you reach for when everything else is empty.
flashbang|uncommon|Flashbang|Weapon · Grenade · TL8|a modern stun grenade, a flashbang|Affliction: HT-5 or stunned/blind\nThrown · non-lethal\nWeight 0.5 lb · Availability: Uncommon|Buys the three seconds that win the room.
platecarrier|uncommon|Plate Carrier|Armor · Body Armor · TL8|a modern tactical plate carrier with ceramic plates and pouches|DR: 35 vs pi (plate) / 12 soft\nCovers: torso\nWeight 18 lb · Availability: Uncommon|Twelve pounds between you and the round.
ballistichelm|uncommon|Ballistic Helmet|Armor · Helm · TL8|a modern ballistic helmet with accessory rails and a mount|DR: 12\nCovers: skull; NV mount\nWeight 3 lb · Availability: Uncommon|Rated for fragments and pistol rounds, not rifles.
nvg|rare|Night-Vision Goggles|Gear · Optics · TL8|a modern helmet-mounted night-vision goggle set|No darkness penalty\nWeight 1 lb · Availability: Rare|The dark stops being the enemy's ally.
breachkit|uncommon|Breaching Kit|Gear · Tools · TL8|a modern breaching kit with a pry bar, bolt cutters and a lockpick gun|Force / pick doors at +2\nWeight 6 lb · Availability: Uncommon|Every door opens; the question is how loud.
ifak|common|Trauma Kit (IFAK)|Gear · Medical · TL8|a modern individual first-aid kit with a tourniquet, hemostatic gauze and chest seals|First Aid at +2\nStop major bleeds\nWeight 1.5 lb · Availability: Common|Tourniquet high, tourniquet tight.
radio|common|Radio & Earpiece|Gear · Comms · TL8|a modern encrypted tactical radio with an earpiece|Encrypted team comms\nWeight 1 lb · Availability: Common|The team's real weapon is talking to each other.
multitool|common|Multitool|Gear · Tools · TL8|a modern folding multitool|+1 improvised repairs\nWeight 0.5 lb · Availability: Common|A driver and pliers for every panicked field fix.
